"Home","Score","Away","Score"
"Atlanta Hawks",103,"Los Angeles Clippers",116
"Charlotte Hornets",129,"Washington Wizards",124
"Cleveland Cavaliers",119,"Brooklyn Nets",109
"Houston Rockets",125,"Denver Nuggets",95
"Memphis Grizzlies",94,"Dallas Mavericks",95
"Miami Heat",104,"Boston Celtics",98
"Minnesota Timberwolves",124,"Orlando Magic",118
"New Orleans Pelicans",107,"San Antonio Spurs",90
"New York Knicks",108,"Toronto Raptors",100
"Oklahoma City Thunder",108,"Golden State Warriors",91
"Philadelphia 76ers",101,"Portland Trail Blazers",81
"Phoenix Suns",107,"Milwaukee Bucks",113
"Sacramento Kings",113,"Los Angeles Lakers",102
"Utah Jazz",110,"Chicago Bulls",80
"Atlanta Hawks",116,"New York Knicks",104
"Boston Celtics",118,"Orlando Magic",103
"Brooklyn Nets",125,"Portland Trail Blazers",127
"Cleveland Cavaliers",100,"Charlotte Hornets",99
"Denver Nuggets",104,"Memphis Grizzlies",92
"Golden State Warriors",143,"Chicago Bulls",94
"Indiana Pacers",107,"Toronto Raptors",104
"Minnesota Timberwolves",97,"Miami Heat",109
"Oklahoma City Thunder",98,"Detroit Pistons",99
"Phoenix Suns",91,"New Orleans Pelicans",115
"Atlanta Hawks",78,"Toronto Raptors",112
"Charlotte Hornets",86,"San Antonio Spurs",106
"Dallas Mavericks",97,"Oklahoma City Thunder",81
"Golden State Warriors",110,"New Orleans Pelicans",95
"Houston Rockets",117,"New York Knicks",102
"Indiana Pacers",98,"Boston Celtics",108
"Philadelphia 76ers",130,"Orlando Magic",111
"Sacramento Kings",95,"Los Angeles Clippers",97
"Utah Jazz",121,"Milwaukee Bucks",108
"Washington Wizards",105,"Portland Trail Blazers",108
"Chicago Bulls",93,"Miami Heat",100
"Memphis Grizzlies",88,"Brooklyn Nets",98
"Minnesota Timberwolves",119,"Phoenix Suns",108
"Boston Celtics",108,"Detroit Pistons",118
"Golden State Warriors",106,"Sacramento Kings",110
"Houston Rockets",117,"Brooklyn Nets",103
"Indiana Pacers",121,"Orlando Magic",109
"Los Angeles Clippers",120,"Los Angeles Lakers",115
"New York Knicks",91,"Portland Trail Blazers",103
"Philadelphia 76ers",91,"Cleveland Cavaliers",113
"San Antonio Spurs",115,"Dallas Mavericks",108
"Chicago Bulls",99,"Phoenix Suns",104
"Cleveland Cavaliers",108,"Miami Heat",97
"Minnesota Timberwolves",89,"Washington Wizards",92
"Sacramento Kings",87,"Milwaukee Bucks",112
"Utah Jazz",106,"Denver Nuggets",77
"Dallas Mavericks",104,"Brooklyn Nets",109
"Detroit Pistons",131,"Phoenix Suns",107
"Houston Rockets",118,"Indiana Pacers",97
"Los Angeles Lakers",123,"Golden State Warriors",127
"New Orleans Pelicans",102,"Minnesota Timberwolves",120
"New York Knicks",115,"Miami Heat",86
"Orlando Magic",121,"Oklahoma City Thunder",108
"Philadelphia 76ers",118,"Washington Wizards",113
"San Antonio Spurs",104,"Memphis Grizzlies",95
"Toronto Raptors",126,"Charlotte Hornets",113
"Atlanta Hawks",114,"Cleveland Cavaliers",121
"Boston Celtics",108,"Philadelphia 76ers",97
"Denver Nuggets",111,"Chicago Bulls",110
"Los Angeles Clippers",107,"Utah Jazz",126
"Portland Trail Blazers",91,"Milwaukee Bucks",103
"Chicago Bulls",106,"Sacramento Kings",107
"Memphis Grizzlies",79,"San Antonio Spurs",95
"Miami Heat",105,"Charlotte Hornets",100
"Oklahoma City Thunder",111,"Minnesota Timberwolves",107
"Orlando Magic",112,"Golden State Warriors",133
"Toronto Raptors",120,"Indiana Pacers",115
"Utah Jazz",114,"New Orleans Pelicans",108
"Washington Wizards",109,"Detroit Pistons",91
"Boston Celtics",116,"Phoenix Suns",111
"Brooklyn Nets",102,"Atlanta Hawks",114
"Cleveland Cavaliers",116,"Memphis Grizzlies",111
"Dallas Mavericks",108,"Los Angeles Clippers",82
"Denver Nuggets",115,"Los Angeles Lakers",100
"Milwaukee Bucks",109,"Sacramento Kings",104
"Philadelphia 76ers",108,"Detroit Pistons",103
"Portland Trail Blazers",116,"New Orleans Pelicans",123
"Los Angeles Lakers",95,"Houston Rockets",118
"Miami Heat",95,"Golden State Warriors",123
"Minnesota Timberwolves",112,"Los Angeles Clippers",106
"New York Knicks",100,"Orlando Magic",105
"Oklahoma City Thunder",90,"San Antonio Spurs",87
"Atlanta Hawks",90,"Brooklyn Nets",110
"Boston Celtics",111,"Milwaukee Bucks",100
"Chicago Bulls",91,"Cleveland Cavaliers",113
"Charlotte Hornets",104,"Orlando Magic",94
"Dallas Mavericks",122,"Denver Nuggets",105
"Indiana Pacers",115,"New York Knicks",97
"Memphis Grizzlies",95,"Minnesota Timberwolves",92
"New Orleans Pelicans",115,"Golden State Warriors",125
"Philadelphia 76ers",101,"Phoenix Suns",115
"San Antonio Spurs",96,"Detroit Pistons",93
"Utah Jazz",116,"Washington Wizards",69
"Oklahoma City Thunder",100,"Utah Jazz",94
"Portland Trail Blazers",92,"Washington Wizards",106
"Toronto Raptors",126,"Phoenix Suns",113
"Boston Celtics",97,"Dallas Mavericks",90
"Charlotte Hornets",87,"Golden State Warriors",101
"Cleveland Cavaliers",101,"Sacramento Kings",95
"Indiana Pacers",98,"Chicago Bulls",96
"Los Angeles Clippers",107,"Minnesota Timberwolves",113
"Milwaukee Bucks",104,"Detroit Pistons",100
"New Orleans Pelicans",123,"Denver Nuggets",114
"New York Knicks",99,"Memphis Grizzlies",88
"Orlando Magic",110,"Atlanta Hawks",106
"San Antonio Spurs",117,"Miami Heat",105
"Brooklyn Nets",100,"Oklahoma City Thunder",95
"Philadelphia 76ers",104,"Los Angeles Lakers",107
"Phoenix Suns",99,"Washington Wizards",109
"Utah Jazz",101,"Houston Rockets",112
"Charlotte Hornets",111,"Chicago Bulls",119
"Detroit Pistons",98,"Golden State Warriors",102
"Indiana Pacers",106,"Cleveland Cavaliers",102
"Memphis Grizzlies",107,"Toronto Raptors",116
"Milwaukee Bucks",109,"Dallas Mavericks",102
"New Orleans Pelicans",109,"Sacramento Kings",116
"Orlando Magic",89,"Denver Nuggets",103
"San Antonio Spurs",105,"Boston Celtics",102
"Atlanta Hawks",117,"Orlando Magic",110
"Brooklyn Nets",89,"Miami Heat",101
"Chicago Bulls",104,"New York Knicks",102
"Charlotte Hornets",99,"Los Angeles Lakers",110
"Cleveland Cavaliers",105,"Philadelphia 76ers",98
"Los Angeles Clippers",113,"Washington Wizards",112
"Memphis Grizzlies",101,"Oklahoma City Thunder",102
"Milwaukee Bucks",117,"Utah Jazz",100
"Phoenix Suns",101,"San Antonio Spurs",104
"Portland Trail Blazers",117,"Houston Rockets",124
"Detroit Pistons",81,"Boston Celtics",91
"Indiana Pacers",126,"Denver Nuggets",116
"Minnesota Timberwolves",97,"Dallas Mavericks",92
"New Orleans Pelicans",131,"Philadelphia 76ers",124
"New York Knicks",111,"Atlanta Hawks",107
"Sacramento Kings",87,"Toronto Raptors",102
