"Home","Score","Away","Score"
"Philadelphia 76ers",123,"Denver Nuggets",104
"Phoenix Suns",94,"Boston Celtics",102
"Golden State Warriors",81,"Indiana Pacers",92
"Houston Rockets",118,"Chicago Bulls",86
"Los Angeles Clippers",105,"Milwaukee Bucks",98
"Miami Heat",98,"Cleveland Cavaliers",79
"New Orleans Pelicans",103,"Portland Trail Blazers",107
"Sacramento Kings",97,"Dallas Mavericks",103
"Toronto Raptors",114,"Denver Nuggets",110
"Washington Wizards",116,"San Antonio Spurs",106
