"Home","Score","Away","Score"
"KCR",3,"CLE",9
"MIL",6,"MIN",5
"FLA",3,"TBD",2
"CIN",5,"CHW",3
"NYY",3,"ATL",5
"WSN",3,"BOS",4
"TOR",2,"DET",3
"NYY",11,"BOS",1
"SEA",1,"KCR",0
"SDP",5,"PIT",7
"LAD",6,"COL",4
"ARI",6,"SFG",9
"OAK",3,"CLE",15
"TEX",5,"CHW",10
"CHC",11,"MIN",10
"STL",5,"ATL",6
"PHI",4,"WSN",3
"TBD",3,"HOU",2
"FLA",2,"NYM",5
"CIN",8,"MIL",2
"TOR",1,"DET",9
"BAL",8,"ANA",2
"SEA",6,"KCR",4
"SDP",4,"PIT",3
"ARI",0,"SFG",7
"TEX",13,"CHW",4
"STL",4,"ATL",11
"NYY",0,"BOS",11
"LAD",1,"COL",3
"PHI",3,"WSN",2
"TBD",5,"HOU",2
"FLA",5,"NYM",2
"CIN",12,"MIL",3
"OAK",7,"CLE",2
"BAL",2,"ANA",6
"CHC",14,"MIN",9
"TOR",4,"DET",3
"SEA",4,"KCR",1
"SDP",3,"PIT",6
"LAD",1,"COL",3
"OAK",3,"CLE",1
"ARI",1,"SFG",2
"STL",1,"ATL",5
"TEX",11,"CHW",3
"TBD",3,"HOU",2
"FLA",8,"NYM",2
"CIN",2,"MIL",8
"TOR",3,"DET",2
"PHI",7,"WSN",17
"NYY",8,"BOS",1
"BAL",1,"ANA",7
"CHC",10,"MIN",6
"TBD",0,"HOU",1
"CIN",4,"MIL",6
"PHI",4,"WSN",3
"BOS",4,"ANA",2
"SFG",8,"COL",9
"LAD",5,"CHC",11
"BAL",2,"SEA",4
"CHW",1,"MIN",2
"DET",2,"OAK",4
"FLA",0,"ARI",4
"SFG",1,"COL",0
"LAD",7,"CHC",5
"STL",1,"CLE",5
"CHW",6,"MIN",1
"TEX",5,"SDP",2
"NYM",3,"PIT",5
"FLA",1,"ARI",2
"DET",0,"OAK",3
"BOS",9,"ANA",6
"PHI",3,"NYY",0
"BAL",7,"SEA",8
"MIL",4,"KCR",5
"HOU",7,"TOR",6
"ATL",5,"CIN",6
"SFG",3,"COL",2
"LAD",4,"CHC",9
"STL",11,"CLE",2
"MIL",5,"KCR",1
"HOU",7,"TOR",0
"CHW",8,"MIN",4
"TEX",2,"SDP",3
"ATL",3,"CIN",5
"NYM",4,"PIT",3
"FLA",3,"ARI",5
"DET",7,"OAK",9
"BOS",9,"ANA",1
"PHI",0,"NYY",6
"BAL",2,"SEA",3
"TBD",1,"WSN",0
"LAD",2,"CHC",1
"STL",4,"CLE",0
"HOU",3,"TOR",6
"TEX",7,"SDP",4
"ATL",5,"CIN",4
"TBD",11,"WSN",0
"NYM",4,"PIT",6
"FLA",9,"ARI",5
"PHI",2,"NYY",4
"BAL",3,"SEA",5
"KCR",2,"ANA",0
"DET",4,"OAK",5
"WSN",8,"PHI",6
"ANA",6,"TOR",7
"SFG",3,"SDP",2
"COL",5,"FLA",8
"MIN",2,"TEX",0
"MIL",2,"STL",8
"HOU",11,"KCR",3
"CHW",10,"OAK",3
"PIT",0,"ARI",3
"ATL",7,"BAL",3
"TBD",7,"NYY",6
"NYM",7,"LAD",8
"CLE",12,"DET",2
"CIN",8,"CHC",6
"BOS",5,"SEA",0
"ANA",1,"TOR",4
"NYM",3,"LAD",8
"HOU",4,"KCR",3
"BOS",2,"SEA",7
"CLE",4,"DET",1
"TBD",4,"NYY",0
"MIL",2,"STL",3
"CIN",11,"CHC",2
"ATL",5,"BAL",7
"WSN",3,"PHI",5
"SFG",5,"SDP",3
"PIT",2,"ARI",7
"COL",2,"FLA",6
"MIN",6,"TEX",9
"CHW",6,"OAK",7
"SFG",2,"SDP",6
"ANA",2,"TOR",1
"COL",11,"FLA",3
"MIN",1,"TEX",8
"MIL",2,"STL",1
"HOU",0,"KCR",1
"CHW",6,"OAK",4
"ATL",7,"BAL",10
"TBD",2,"NYY",1
"NYM",2,"LAD",5
"CLE",10,"DET",0
"CIN",6,"CHC",3
"BOS",14,"SEA",10
"WSN",2,"PHI",12
"PIT",1,"ARI",2
"CHW",2,"OAK",11
"SFG",3,"SDP",0
"ANA",8,"TOR",5
"MIL",11,"STL",3
"CIN",6,"CHC",2
"WSN",4,"BAL",2
"PIT",3,"ARI",9
"COL",6,"NYM",4
"MIN",2,"BOS",9
"NYY",4,"SEA",3
"COL",10,"NYM",8
"KCR",2,"TEX",3
"MIN",4,"BOS",1
"HOU",5,"TBD",1
"WSN",0,"BAL",3
"NYY",7,"SEA",5
"SFG",6,"FLA",5
"SDP",4,"OAK",12
"CHC",4,"LAD",0
"CLE",12,"CHW",0
"PHI",4,"STL",3
"TOR",5,"ATL",4
"CIN",5,"DET",3
"SFG",6,"FLA",3
"SDP",2,"OAK",4
"ANA",5,"ARI",4
"COL",10,"NYM",8
"KCR",1,"TEX",4
"MIN",6,"BOS",2
"HOU",1,"TBD",2
"CHC",2,"LAD",1
"CLE",6,"CHW",3
"CIN",9,"DET",5
"TOR",4,"ATL",11
"WSN",9,"BAL",7
"PIT",2,"MIL",3
"PHI",6,"STL",7
"NYY",7,"SEA",2
"CHC",3,"LAD",4
"SFG",4,"FLA",5
"ANA",4,"ARI",7
"COL",2,"NYM",12
"KCR",3,"TEX",6
"HOU",5,"TBD",4
"CLE",6,"CHW",2
"PIT",1,"MIL",0
"PHI",6,"STL",5
"WSN",2,"NYY",4
"STL",5,"CHC",0
"SEA",3,"BOS",9
"LAD",1,"SFG",4
"ARI",3,"NYM",5
"OAK",6,"ANA",5
"TEX",13,"COL",12
"KCR",4,"HOU",7
"MIL",9,"PHI",10
"CHW",1,"DET",3
"NYY",1,"TBD",3
"PIT",6,"CIN",8
"ATL",4,"SDP",1
"CLE",4,"MIN",1
"TOR",8,"WSN",6
"BAL",10,"FLA",4
"ARI",1,"NYM",5
"STL",3,"CHC",6
"SEA",1,"BOS",0
"LAD",3,"SFG",1
"ATL",1,"SDP",0
"MIL",1,"PHI",4
"CLE",3,"MIN",9
"TOR",2,"WSN",0
"TEX",5,"COL",2
"PIT",6,"CIN",2
"OAK",6,"ANA",4
"BAL",4,"FLA",5
"KCR",2,"HOU",10
"CHW",5,"DET",7
"NYY",4,"TBD",1
"SEA",7,"BOS",6
"LAD",3,"SFG",2
"ARI",7,"NYM",3
"OAK",4,"ANA",8
"STL",5,"CHC",13
"KCR",3,"HOU",7
"MIL",13,"PHI",2
"CHW",3,"DET",4
"TEX",5,"COL",9
"ATL",3,"SDP",9
"CLE",3,"MIN",6
"TOR",6,"WSN",5
"PIT",3,"CIN",2
"NYY",5,"TBD",0
"BAL",0,"FLA",2
"SEA",1,"BOS",2
"ARI",6,"NYM",3
"ATL",4,"SDP",2
"NYY",4,"TBD",3
"OAK",3,"HOU",7
"CHW",2,"CLE",5
"DET",3,"MIN",1
"PHI",9,"COL",3
"FLA",3,"SFG",6
"LAD",3,"TEX",2
"OAK",5,"HOU",13
"STL",2,"SDP",4
