"Home","Score","Away","Score"
"New York Islanders",6,"Vegas Golden Knights",3
"Ottawa Senators",3,"Montreal Canadiens",8
"Philadelphia Flyers",3,"Arizona Coyotes",4
"San Jose Sharks",3,"Toronto Maple Leafs",2
"St. Louis Blues",4,"Los Angeles Kings",2
"Vancouver Canucks",1,"Dallas Stars",2
"Detroit Red Wings",5,"Arizona Coyotes",3
"Minnesota Wild",1,"Winnipeg Jets",2
"New York Rangers",6,"Vegas Golden Knights",4
"Anaheim Ducks",1,"Toronto Maple Leafs",3
"Chicago Blackhawks",3,"Philadelphia Flyers",0
"Edmonton Oilers",2,"Pittsburgh Penguins",3
"San Jose Sharks",4,"Nashville Predators",1
"Vancouver Canucks",0,"New Jersey Devils",2
"Arizona Coyotes",4,"Buffalo Sabres",5
"Boston Bruins",2,"Vegas Golden Knights",1
"Calgary Flames",2,"Pittsburgh Penguins",1
"Colorado Avalanche",5,"Carolina Hurricanes",3
"Florida Panthers",3,"Columbus Blue Jackets",7
"Los Angeles Kings",5,"Toronto Maple Leafs",3
"Minnesota Wild",6,"Montreal Canadiens",3
"Ottawa Senators",3,"Detroit Red Wings",1
"St. Louis Blues",0,"Philadelphia Flyers",2
"Tampa Bay Lightning",1,"New York Rangers",2
"Winnipeg Jets",5,"Dallas Stars",2
"Washington Capitals",4,"New York Islanders",3
"Anaheim Ducks",3,"Nashville Predators",5
"Edmonton Oilers",6,"New Jersey Devils",3
"Arizona Coyotes",2,"Carolina Hurricanes",1
"Boston Bruins",2,"Washington Capitals",3
"Dallas Stars",5,"Buffalo Sabres",1
"Florida Panthers",4,"New York Rangers",5
"Los Angeles Kings",3,"Nashville Predators",4
"Minnesota Wild",0,"Chicago Blackhawks",2
"Ottawa Senators",4,"Vegas Golden Knights",5
"Philadelphia Flyers",4,"Colorado Avalanche",5
"San Jose Sharks",2,"Anaheim Ducks",1
"St. Louis Blues",6,"Toronto Maple Leafs",4
"Tampa Bay Lightning",5,"Columbus Blue Jackets",4
"Vancouver Canucks",4,"Pittsburgh Penguins",2
"Winnipeg Jets",4,"Montreal Canadiens",5
"Calgary Flames",5,"New Jersey Devils",4
"Chicago Blackhawks",0,"Montreal Canadiens",2
"Edmonton Oilers",0,"Detroit Red Wings",4
"New York Islanders",6,"Colorado Avalanche",4
"Boston Bruins",5,"Minnesota Wild",3
"Dallas Stars",1,"Winnipeg Jets",4
"New York Rangers",5,"Columbus Blue Jackets",3
"Toronto Maple Leafs",4,"Vegas Golden Knights",3
"Vancouver Canucks",2,"Detroit Red Wings",3
"Washington Capitals",3,"Arizona Coyotes",2
"Anaheim Ducks",3,"Los Angeles Kings",4
"Buffalo Sabres",3,"Washington Capitals",1
"Carolina Hurricanes",3,"Florida Panthers",1
"Columbus Blue Jackets",1,"Nashville Predators",3
"Calgary Flames",3,"Vancouver Canucks",5
"Montreal Canadiens",3,"Vegas Golden Knights",2
"New Jersey Devils",1,"St. Louis Blues",3
"New York Islanders",1,"Edmonton Oilers",2
"Pittsburgh Penguins",3,"Arizona Coyotes",1
"New York Rangers",4,"Boston Bruins",2
"San Jose Sharks",1,"Tampa Bay Lightning",5
"Toronto Maple Leafs",4,"Minnesota Wild",2
"Anaheim Ducks",4,"Vancouver Canucks",1
"Calgary Flames",6,"Detroit Red Wings",3
"Los Angeles Kings",2,"Tampa Bay Lightning",5
"Montreal Canadiens",0,"Minnesota Wild",3
"New Jersey Devils",2,"Edmonton Oilers",3
"Philadelphia Flyers",3,"Chicago Blackhawks",1
"St. Louis Blues",3,"Arizona Coyotes",2
"Buffalo Sabres",1,"Florida Panthers",4
"Columbus Blue Jackets",1,"Carolina Hurricanes",3
"Colorado Avalanche",3,"Ottawa Senators",4
"Dallas Stars",5,"New York Islanders",0
"Toronto Maple Leafs",3,"Boston Bruins",2
"Vegas Golden Knights",5,"Winnipeg Jets",2
"Washington Capitals",4,"Pittsburgh Penguins",1
"Arizona Coyotes",1,"Winnipeg Jets",4
"Boston Bruins",1,"Toronto Maple Leafs",4
"Carolina Hurricanes",3,"Chicago Blackhawks",4
"Detroit Red Wings",1,"Columbus Blue Jackets",2
"Montreal Canadiens",2,"Buffalo Sabres",1
"New Jersey Devils",2,"Florida Panthers",1
"Nashville Predators",5,"Pittsburgh Penguins",4
"New York Rangers",4,"Edmonton Oilers",2
"Ottawa Senators",4,"Colorado Avalanche",3
"Philadelphia Flyers",0,"Minnesota Wild",1
"San Jose Sharks",5,"Vancouver Canucks",0
"St. Louis Blues",2,"New York Islanders",5
"Anaheim Ducks",1,"Tampa Bay Lightning",2
"Chicago Blackhawks",5,"New Jersey Devils",7
"Los Angeles Kings",1,"San Jose Sharks",2
"Washington Capitals",2,"Edmonton Oilers",1
"Carolina Hurricanes",5,"Dallas Stars",1
"Calgary Flames",7,"St. Louis Blues",4
"Edmonton Oilers",8,"Vegas Golden Knights",2
"Florida Panthers",4,"Dallas Stars",3
"Los Angeles Kings",2,"Vancouver Canucks",3
"Minnesota Wild",3,"Philadelphia Flyers",0
"Montreal Canadiens",1,"Columbus Blue Jackets",2
"Nashville Predators",6,"Washington Capitals",3
"Pittsburgh Penguins",5,"Buffalo Sabres",4
"Winnipeg Jets",4,"Arizona Coyotes",1
"Anaheim Ducks",4,"Boston Bruins",2
"Chicago Blackhawks",6,"New York Rangers",3
"Detroit Red Wings",8,"Calgary Flames",2
"Colorado Avalanche",6,"Washington Capitals",2
"Edmonton Oilers",1,"St. Louis Blues",4
"Los Angeles Kings",1,"Boston Bruins",2
"Minnesota Wild",6,"Nashville Predators",4
"Montreal Canadiens",4,"Arizona Coyotes",5
"New York Islanders",6,"Carolina Hurricanes",4
"Ottawa Senators",1,"Pittsburgh Penguins",3
"San Jose Sharks",0,"Florida Panthers",2
"Tampa Bay Lightning",6,"Dallas Stars",1
"Toronto Maple Leafs",1,"New Jersey Devils",0
"Vancouver Canucks",2,"Vegas Golden Knights",5
"Winnipeg Jets",3,"Philadelphia Flyers",2
"Columbus Blue Jackets",2,"New York Rangers",0
"Detroit Red Wings",3,"Buffalo Sabres",1
"Buffalo Sabres",1,"Carolina Hurricanes",3
"Dallas Stars",6,"Edmonton Oilers",3
"Los Angeles Kings",4,"Florida Panthers",0
"Montreal Canadiens",0,"Toronto Maple Leafs",6
"Nashville Predators",5,"Colorado Avalanche",2
"Ottawa Senators",2,"Arizona Coyotes",3
"Philadelphia Flyers",4,"Calgary Flames",5
"Pittsburgh Penguins",1,"Chicago Blackhawks",2
"San Jose Sharks",1,"Boston Bruins",3
"Tampa Bay Lightning",3,"New York Islanders",5
"Vancouver Canucks",3,"St. Louis Blues",4
"Winnipeg Jets",5,"New Jersey Devils",2
"Washington Capitals",3,"Minnesota Wild",1
"Anaheim Ducks",3,"Florida Panthers",2
"Carolina Hurricanes",4,"New York Islanders",2
"Detroit Red Wings",3,"Colorado Avalanche",4
"New York Rangers",3,"Ottawa Senators",0
"Vegas Golden Knights",4,"Los Angeles Kings",2
"Buffalo Sabres",2,"Columbus Blue Jackets",3
"Minnesota Wild",3,"New Jersey Devils",4
"Nashville Predators",5,"Winnipeg Jets",3
"San Jose Sharks",2,"Anaheim Ducks",3
